archivo,codigo,nombre_planilla,precio_solo_planilla,slug_sugerido,nombre_catalogo,coincidencia,precio_catalogo,revisar,precios_con_accesorios_json
nhp 24.xlsx,B078,HEAVEN 100  CRISTAL,435,heaven-100-cc-cristal,Heaven 100 cc Cristal,1.0,435,No,"{""SPRAY    natural/ negra/blanca"": 809, ""SPRAY ENFUNDADA plata /oro"": 1466, ""CREMA blanca/  negra"": 933, ""CREMA ENFUNDADA plata / oro"": 1522, ""CREMA PREMIUM blanca/negra"": 995, ""GATILLO MINI trigger negro/blanco"": 1182, ""TAPA CIEGA natural / negra / blanca"": 595, ""difusora aluminio plata / oro"": 615, ""DIFUSORA PLASTICA negra / gris / humo/ blanca"": 589, ""DISK TOP negra / natural"": 599, ""FLIP TOP blanca / natural / negra"": 654, ""tapa ciega aluminio (N022)"": 615}"
nhp 24.xlsx,B035,HEAVEN 100  BLANCO,468,heaven-100-cc-blanco,Heaven 100 cc Blanco,1.0,468,No,"{""SPRAY    natural/ negra/blanca"": 842, ""SPRAY ENFUNDADA plata /oro"": 1499, ""CREMA blanca/  negra"": 966, ""CREMA ENFUNDADA plata / oro"": 1555, ""CREMA PREMIUM blanca/negra"": 1028, ""GATILLO MINI trigger negro/blanco"": 1215, ""TAPA CIEGA natural / negra / blanca"": 628, ""difusora aluminio plata / oro"": 648, ""DIFUSORA PLASTICA negra / gris / humo/ blanca"": 622, ""DISK TOP negra / natural"": 632, ""FLIP TOP blanca / natural / negra"": 687, ""tapa ciega aluminio (N022)"": 648}"
nhp 24.xlsx,B036,HEAVEN 100 AMBAR ,468,heaven-100-cc-ambar,Heaven 100 cc Ambar,1.0,468,No,"{""SPRAY    natural/ negra/blanca"": 842, ""SPRAY ENFUNDADA plata /oro"": 1499, ""CREMA blanca/  negra"": 966, ""CREMA ENFUNDADA plata / oro"": 1555, ""CREMA PREMIUM blanca/negra"": 1028, ""GATILLO MINI trigger negro/blanco"": 1215, ""TAPA CIEGA natural / negra / blanca"": 628, ""difusora aluminio plata / oro"": 648, ""DIFUSORA PLASTICA negra / gris / humo/ blanca"": 622, ""DISK TOP negra / natural"": 632, ""FLIP TOP blanca / natural / negra"": 687, ""tapa ciega aluminio (N022)"": 648}"
nhp 24.xlsx,C024,FLORENCIA 70 ,434,mini-difusor-florencia-70cc,Mini difusor Florencia 70cc,0.6,614,Sí,"{""SPRAY    natural/ negra/blanca"": 808, ""SPRAY ENFUNDADA plata /oro"": 1465, ""CREMA blanca/  negra"": 932, ""CREMA ENFUNDADA plata / oro"": 1521, ""CREMA PREMIUM blanca/negra"": 994, ""GATILLO MINI trigger negro/blanco"": 1181, ""TAPA CIEGA natural / negra / blanca"": 594, ""difusora aluminio plata / oro"": 614, ""DIFUSORA PLASTICA negra / gris / humo/ blanca"": 588, ""DISK TOP negra / natural"": 598, ""FLIP TOP blanca / natural / negra"": 653, ""tapa ciega aluminio (N022)"": 614}"
nhp 28.xlsx,B013,OMEGA 500 CRISTAL,902,omega-500-cc-cristal,Omega 500 cc Cristal,1.0,902,No,"{""SPRAY\nNegra/ nat"": 1324, ""CREMA natural / negra"": 1462, ""GATILLO GRANDE natural / negro"": 1649, ""GATILLO MINI\n TRIGGER negro"": 1808, ""TAPA CIEGA precinto blanca azul/ roja"": 965, ""TAPA CIEGA \nNEGRA"": 982, ""DISK TOP negra / nat"": 1193, ""FLIP TOP \nHONGO"": 1141, ""FLIP TOP\nNegra"": 1121, ""DIFUSORA\nALUMINIO plata/ oro"": 1092, ""TAPA CIEGA\nALUMINIO"": 1092}"
nhp 28.xlsx,B012,OMEGA 500 AMBAR,933,omega-500-cc-ambar,Omega 500 cc Ambar,1.0,933,No,"{""SPRAY\nNegra/ nat"": 1355, ""CREMA natural / negra"": 1493, ""GATILLO GRANDE natural / negro"": 1680, ""GATILLO MINI\n TRIGGER negro"": 1839, ""TAPA CIEGA precinto blanca azul/ roja"": 996, ""TAPA CIEGA \nNEGRA"": 1013, ""DISK TOP negra / nat"": 1224, ""FLIP TOP \nHONGO"": 1172, ""FLIP TOP\nNegra"": 1152, ""DIFUSORA\nALUMINIO plata/ oro"": 1123, ""TAPA CIEGA\nALUMINIO"": 1123}"
nhp 28.xlsx,B067,OMEGA 500 BLANCO,933,omega-500-cc-blanco,Omega 500 cc Blanco,1.0,933,No,"{""SPRAY\nNegra/ nat"": 1355, ""CREMA natural / negra"": 1493, ""GATILLO GRANDE natural / negro"": 1680, ""GATILLO MINI\n TRIGGER negro"": 1839, ""TAPA CIEGA precinto blanca azul/ roja"": 996, ""TAPA CIEGA \nNEGRA"": 1013, ""DISK TOP negra / nat"": 1224, ""FLIP TOP \nHONGO"": 1172, ""FLIP TOP\nNegra"": 1152, ""DIFUSORA\nALUMINIO plata/ oro"": 1123, ""TAPA CIEGA\nALUMINIO"": 1123}"
nhp 28.xlsx,C004,SEVILLA  500 CRISTAL,759,sevilla-500-cc-cristal,Sevilla 500 cc Cristal,1.0,759,No,"{""SPRAY\nNegra/ nat"": 1181, ""CREMA natural / negra"": 1319, ""GATILLO GRANDE natural / negro"": 1506, ""GATILLO MINI\n TRIGGER negro"": 1665, ""TAPA CIEGA precinto blanca azul/ roja"": 822, ""TAPA CIEGA \nNEGRA"": 839, ""DISK TOP negra / nat"": 1050, ""FLIP TOP \nHONGO"": 998, ""FLIP TOP\nNegra"": 978, ""DIFUSORA\nALUMINIO plata/ oro"": 949, ""TAPA CIEGA\nALUMINIO"": 949}"
nhp 28.xlsx,B027,CUADRADO 150 CRISTAL,468,cuadrado-150-cc-cristal,Cuadrado 150 cc Cristal,1.0,468,No,"{""SPRAY\nNegra/ nat"": 890, ""CREMA natural / negra"": 1028, ""GATILLO GRANDE natural / negro"": 1215, ""GATILLO MINI\n TRIGGER negro"": 1374, ""TAPA CIEGA precinto blanca azul/ roja"": 531, ""TAPA CIEGA \nNEGRA"": 548, ""DISK TOP negra / nat"": 759, ""FLIP TOP \nHONGO"": 707, ""FLIP TOP\nNegra"": 687, ""DIFUSORA\nALUMINIO plata/ oro"": 658, ""TAPA CIEGA\nALUMINIO"": 658}"
nhp 28.xlsx,B028,CUADRADO 150 AMBAR,498,cuadrado-150-cc-ambar,Cuadrado 150 cc Ámbar,1.0,498,No,"{""SPRAY\nNegra/ nat"": 920, ""CREMA natural / negra"": 1058, ""GATILLO GRANDE natural / negro"": 1245, ""GATILLO MINI\n TRIGGER negro"": 1404, ""TAPA CIEGA precinto blanca azul/ roja"": 561, ""TAPA CIEGA \nNEGRA"": 578, ""DISK TOP negra / nat"": 789, ""FLIP TOP \nHONGO"": 737, ""FLIP TOP\nNegra"": 717, ""DIFUSORA\nALUMINIO plata/ oro"": 688, ""TAPA CIEGA\nALUMINIO"": 688}"
nhp 28.xlsx,B025,CUADRADO 100 CRISTAL,435,cuadrado-100-cc-cristal,Cuadrado 100 cc Cristal,1.0,435,No,"{""SPRAY\nNegra/ nat"": 857, ""CREMA natural / negra"": 995, ""GATILLO GRANDE natural / negro"": 1182, ""GATILLO MINI\n TRIGGER negro"": 1341, ""TAPA CIEGA precinto blanca azul/ roja"": 498, ""TAPA CIEGA \nNEGRA"": 515, ""DISK TOP negra / nat"": 726, ""FLIP TOP \nHONGO"": 674, ""FLIP TOP\nNegra"": 654, ""DIFUSORA\nALUMINIO plata/ oro"": 625, ""TAPA CIEGA\nALUMINIO"": 625}"
nhp 28.xlsx,B026,CUADRADO 100 AMBAR,452,cuadrado-100-cc-ambar,Cuadrado 100 cc Ámbar,1.0,452,No,"{""SPRAY\nNegra/ nat"": 874, ""CREMA natural / negra"": 1012, ""GATILLO GRANDE natural / negro"": 1199, ""GATILLO MINI\n TRIGGER negro"": 1358, ""TAPA CIEGA precinto blanca azul/ roja"": 515, ""TAPA CIEGA \nNEGRA"": 532, ""DISK TOP negra / nat"": 743, ""FLIP TOP \nHONGO"": 691, ""FLIP TOP\nNegra"": 671, ""DIFUSORA\nALUMINIO plata/ oro"": 642, ""TAPA CIEGA\nALUMINIO"": 642}"
